category,device,gender,age,amount
Fashion,iOS,F,45-54,61.0
Sports,android,M,18-24,31.0
Technology,android,M,18-24,39.0
Technology,iOS,M,18-24,36.0
Sports,android,M,18-24,40.0
Games,iOS,M,18-24,59.0
Fashion,android,F,45-54,58.0
Fashion,iOS,F,45-54,56.0
Technology,android,F,35-44,33.0
Games,iOS,F,18-24,44.0
Sports,android,F,18-24,53.0
Sports,iOS,F,18-24,48.0
Fashion,iOS,F,18-24,53.0
Technology,iOS,M,35-44,50.0
Fashion,iOS,M,45-54,31.0
Sports,android,M,45-54,27.0
Technology,android,F,18-24,27.0
Games,iOS,F,55+,36.0
Fashion,iOS,M,18-24,39.0
Technology,iOS,M,45-54,13.0
Games,iOS,M,18-24,57.0
Games,iOS,M,55+,72.0
Games,iOS,U,55+,36.0
Sports,iOS,F,25-34,31.0
Environment,iOS,U,35-44,27.0
Fashion,iOS,F,25-34,59.0
Sports,android,M,18-24,39.0
Environment,android,F,18-24,50.0
Technology,iOS,F,35-44,53.0
Technology,iOS,M,18-24,48.0
Technology,iOS,F,18-24,46.0
Fashion,iOS,F,18-24,14.0
Games,iOS,F,18-24,14.0
Fashion,iOS,F,25-34,46.0
Technology,android,F,18-24,41.0
Sports,iOS,M,35-44,46.0
Technology,android,F,18-24,24.0
Environment,iOS,F,18-24,39.0
Sports,android,F,18-24,35.0
Technology,android,M,55+,36.0
Technology,iOS,M,18-24,43.0
Games,iOS,M,55+,16.0
Fashion,iOS,M,25-34,29.0
Environment,android,M,18-24,51.0
Environment,iOS,M,18-24,49.0
Games,android,F,18-24,34.0
Technology,android,F,18-24,35.0
Sports,iOS,F,18-24,22.0
Games,android,M,18-24,31.0
Technology,iOS,M,18-24,19.0
Games,iOS,M,18-24,19.0
Environment,iOS,F,18-24,55.0
Technology,android,M,18-24,18.0
Environment,iOS,F,18-24,43.0
Environment,iOS,F,18-24,43.0
Games,android,M,18-24,14.0
Fashion,iOS,M,18-24,49.0
Technology,iOS,M,18-24,21.0
Games,iOS,F,35-44,27.0
Games,iOS,F,55+,40.0
Games,iOS,U,35-44,38.0
Games,iOS,F,18-24,24.0
Environment,iOS,U,18-24,33.0
Games,iOS,M,18-24,25.0
Technology,iOS,M,25-34,21.0
Technology,iOS,M,18-24,4.0
Games,android,M,25-34,33.0
Technology,iOS,U,18-24,30.0
Sports,iOS,F,18-24,34.0
Technology,iOS,M,18-24,42.0
Fashion,iOS,F,45-54,27.0
Sports,iOS,M,25-34,52.0
Fashion,android,M,18-24,16.0
Technology,android,F,25-34,56.0
Sports,iOS,F,18-24,54.0
Technology,iOS,F,18-24,39.0
Games,iOS,F,35-44,38.0
